"Type","Description"
"Error","E21018: Enhanced Mobi building failure, while parsing content in the file. Content: <img> in file: /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/381.html line: 142","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/fe0bbdb8de2abfe642fb4b3d1c762d11d0b133ff6ae1a0d75ba5e39a3a38bf7f/68747470733a2f2f692e696d6775722e636f6d2f624a74587333412e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/9a469240a5a4ef62c47c035b4d2b06acea6ae5a6be9194b31d1faa50cce8938f/68747470733a2f2f692e696d6775722e636f6d2f30784e595a78672e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/e049695b4ef382136624cb13f2e99fedbad6bac501df130527436cf47189c12a/68747470733a2f2f692e696d6775722e636f6d2f506b31574d43392e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/63a2710cc42e7d2aa2a47246a5c632fea7627f95d80bb9073732144efdbbae13/68747470733a2f2f692e696d6775722e636f6d2f6238496c6364452e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/e2776ad2ea891162d46cf5319bb3c7a0e356fd58504e6c7bdcdd73cffaeb7015/68747470733a2f2f692e696d6775722e636f6d2f6c6842487145412e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/6ec0eddb7873a17305d4dd81c8b26e5b354282557c38b0d697da257895e0ad19/68747470733a2f2f692e696d6775722e636f6d2f4175596254394c2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/72e8984e3318b3b076fb09c82c48021f83035e33e9fecb22fea21ab0ade115e0/68747470733a2f2f692e696d6775722e636f6d2f4d6a37506f444d2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/4a6df45d1af275c84f47d6af12f9a54b8d36e15367e0fc0d869701bdfc6c84e2/68747470733a2f2f692e696d6775722e636f6d2f64486c614d75742e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/240c0c7babb167a91856f8d1448cffba874b9b6416863bc2fbbf84f7f09103fc/68747470733a2f2f692e696d6775722e636f6d2f61494542684c562e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/aa3062d6c20f677a5740b0aafb01344dc5c9cc45fee0abcc10835abf55025984/68747470733a2f2f692e696d6775722e636f6d2f6951646869516f2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/9de181a2ac281ac85364131eda73e4f9a189506a25b53ccec93ded2414ee5c8b/68747470733a2f2f692e696d6775722e636f6d2f714e456f6874652e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/c8af3e6f81b9ae024a86cb8b39ce6fef62a06e1a077a94f557f627477f1cc590/68747470733a2f2f692e696d6775722e636f6d2f4f6b7a78454b512e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/dc5d06a9068f52c5f56c568897613ecfeb354b479410878221ad9701c8a91c99/68747470733a2f2f692e696d6775722e636f6d2f345537726d33712e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/e43605068d6ac562fdb6b4f99d8d77f193bbc14cbee15e3f5730bb3fa3008065/68747470733a2f2f692e696d6775722e636f6d2f5939665855534e2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/dff4ad85a0db93777547963523610aa12c23277c5c9ef9e0eec968842ee88fd0/68747470733a2f2f692e696d6775722e636f6d2f436e704659447a2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/815e0407ddd17b5a7c7a41b8bafe751a64a6f92b30682fcb2655962d7dfae967/68747470733a2f2f692e696d6775722e636f6d2f537664766d43482e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/77e8c728020547a8d36fe2788b5131bbd5688a2cbd97e3017eb258dfd8746623/68747470733a2f2f692e696d6775722e636f6d2f667444656e524a2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/b3b6ff1257b12df1e484255f21232a771be2f8586904f4e4398e24e4ea475260/68747470733a2f2f692e696d6775722e636f6d2f415837674934762e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/77b994af57013bfc84290b6a21ed89b927a755b87bb1f3908b01bb586190fe3d/68747470733a2f2f692e696d6775722e636f6d2f7871524f516f4e2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/9ce597ebfb208b65ccbbade6374f385fb55acfeba7d5b93c8c777d05f486e670/68747470733a2f2f692e696d6775722e636f6d2f774f345847514c2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/3ada9fff15dcf8a1a7da0fd6a935354df8b4fc2338287f9efa696e5b9c688ab9/68747470733a2f2f692e696d6775722e636f6d2f6e54696269484e2e706e67","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/camo.githubusercontent.com/d41bdba6c22657c46e39b9dda6a0c78f7b8943f27385afbc7fe4ed78d3bb1fb0/68747470733a2f2f692e696d6775722e636f6d2f70506649394c4b2e706e67","","","",""
